date,sales,onpromotion,oil_price,holiday,diff,Train_Forecast
2013-01-09,302530.809018,0,93.08,0,-193561.60892599996,438141.92663554073
2013-01-10,258982.003049,0,93.81,0,-102479.22807499999,402795.9101159143
2013-01-11,289737.6850845,0,93.6,0,-64721.99200819997,392455.6912648484
2013-01-12,403258.2120105,0,93.76754698457222,1,-74091.90921849996,561593.8682319707
2013-01-13,464638.547998,0,94.10245301542776,0,-55056.85308999999,423916.45770390716
2013-01-14,293348.362078,0,94.27,0,-42774.43898800004,419358.42855748686
2013-01-15,299129.549954,0,93.26,0,-19218.228027000034,537120.536454608
2013-01-16,318347.913946,0,94.28,0,15817.104927999957,396562.2940104881
2013-01-17,267498.5159755,0,95.49,0,8516.5129265,382703.12798580434
2013-01-18,296130.850028,0,95.61,0,6393.1649435000145,459341.17009131145
2013-01-19,432459.852021,0,95.69002992332149,0,29201.640010499978,533375.6535826081
2013-01-20,461092.386047,0,95.85000000000001,0,-3546.1619509999873,393176.1546674738
2013-01-21,311211.26595000003,0,96.00997007667851,0,17862.903872000054,370235.9975580529
2013-01-22,296214.728983,0,96.09,0,-2914.8209710000083,448212.40746826085
2013-01-23,283258.4530325,0,95.06,0,-35089.46091349999,364120.8125689879
2013-01-24,247245.690995,0,95.35,0,-20252.82498049998,386271.1074076004
2013-01-25,290022.77193,0,95.15,0,-6108.078098000027,505935.5485358518
2013-01-26,413799.7679753,0,95.35005610098177,0,-18660.084045699972,581884.0515777237
2013-01-27,430411.991233,0,95.74994389901823,0,-30680.394814,429295.3709865307
2013-01-28,285460.169953,0,95.95,0,-25751.095997000055,398787.05204506096
2013-01-29,264488.81807649997,0,97.62,0,-31725.91090650001,464499.8565240665
2013-01-30,281061.127052,0,97.98,0,-2197.325980499969,405814.02079257165
2013-01-31,271254.217996,0,97.65,0,24008.52700100001,433730.23261398525
2013-02-01,369402.055266,0,97.46,0,79379.283336,532243.7345833229
2013-02-02,518887.462705,0,97.14741234221599,0,105087.69472969999,524776.4822241189
2013-02-03,486336.82018,0,96.522587657784,0,55924.82894699997,381439.52854084625
2013-02-04,344308.715017,0,96.21,0,58848.545064000005,362863.41043936345
2013-02-05,321245.83913,0,96.68,0,56757.02105350001,383484.92468673317
2013-02-06,321538.177149,0,96.44,0,40477.05009699997,374732.48655589053
2013-02-07,290807.530973,0,95.84,0,19553.312976999965,419460.5810729813
2013-02-08,347441.789912,0,95.71,0,-21960.265353999974,488719.1309083751
2013-02-09,416176.2790747,0,96.03509116409538,0,-102711.18363029999,485841.4213152415
